operation,solution
((9513*8628)+32)/2,41039098
sqrt(10439361),3231
(1499+(181212*6))*(9263-8035),1337010788
((93*9106)+42)/5,169380
(4560+9602)*3333,47201946
(6424*96)/88,7008
(5371+(286*333))*(317-142),17606575
((1386+7253)*7642)+(6214*2355),80653208
(5734*56)/14,22936
((9873+553)*887)-599,9247263
7!*33+3136,169456
"lcm(134,304)+gcd(134,304)",20370
"gcd(47747,36974)",133
4086*(7922+12),32418324
(7023*1860)+(4734*47),13285278
259440/705+73,441
(((2579*872)+(9974*773718))/4)-7960,1929820095
(8190*719)+(8841*455),9911265
3496+(2852*16)-(122480/80),47597
"lcm(346,238)",41174
nth_prime(68)*93+prime_count(4584),31961
7240*((54+4731)*6096)-3125,211186163275
(6343+(350*6635))*(544-27),1203882581
isqrt(4862758),2205
57*((81+55)*22)-7497,163047
((6836+7770)*50)+(3453*1285),5167405
prime_count(971),164
((8258+1184)*9625)-98645,90780605
(4462*71)/194,1633
fib(29)-317,513912
5557*4729,26279053
(2042+15)*(9419-3906),11340241
(549+5852)*29,185629
digit_sum(649828782)^2+digit_sum(649828782),2970
"gcd(552,675)*lcm(552,675)",372600
"lcm(121,175)",21175
((9376-7158)*96)/96,2218
"gcd(56648,876)",292
10!*33+8393,119758793
7463*83,619429
fib(15)*24,14640
"C(27,10)",8436285
(3325*8317)+(2115*10),27675175
digit_sum(192351856)^2+digit_sum(192351856),1640
(4160+53)*(5737-3582),9079015
14!/(10!*4!),1001
floor(6904487/420)+97,16536
"lcm(386,194)",37442
(((8878*4398)+(36*5176))/35)-9710,1111198
floor(2371521/537)+159,4575
(8678*8531)+(524143*906551),475236392811
((519+29)*585368)-65317,320716347
652*(7129+675),5088208
5785*752+2112,4352432
"P(13,4)",17160
"C(31,6)+475",736756
((826901*4899)-(1635+6232))/4,1012745033
(1359+(26481*5))*(2293-107)+78,292408182
(9465+(479*469))*(594-407),43779692
"C(24,8)*18",13238478
digit_sum(5^6)*phi(55),760
(90*51)+(207786*8993),1868624088
phi(915)*sigma(2619),1881600
2999620/695+69,4385
(1623*5997)+(42*92)+(924417*18),26376501
"max(81332,43793,46496)-min(81332,20790)+8",60550
"lcm(289,37)",10693
6^4+6^7,281232
(1926+(57*69))*(36-24),70308
((4652+(4497*3072))*(7869-2570))-45936,73229145428
"perm(14,2)",182
((4847-2202)*85)/85,2645
(8903+(4557*962304))*(7373-1359),26372762581234
(7789*965)-(73*613),7471636
4278+(1388*927164)-(144867/43),1286904541
(6639*2)+(8961*309305),2771695383
(2467*7583)-(76*21),18705665
"lcm(49,392)",392
((9522-7361)*62)/31,4322
(3856+(1760*777895))*(7394-2953)+9068,6080168916764
"C(25,6)*18",3187800
8396*(1432+9),12098636
9425*(8656+365),85022925
sigma(2508),6720
(125945*52)/13,503780
(357484*8)/2,1429936
nth_prime(263)*63+prime_count(3413),105627
((4043*22)/286)*277863+30,86415423
"comb(24,4)",10626
((4622*13)/13)*81+35,374417
"C(21,8)",203490
(6131*58)+(229187*60),14106818
"C(27,7)+fib(17)",889627
7575*((19+5)*6279)-83145,1141439055
(400+(223789*674))*(7176-5953),184470209478
11^6+7^5,1788368
(6811+(1483*39354))*(8821-7020),105122196193
(46*60)+(9*4666)+(89960*70),6341954
"lcm(16,327,84)",36624
6479*((92+4)*43)-16340,26728972
(1616+846)*649,1597838
(4005+(1422*5619))*(2255-1678),4612666671
isqrt(428390),654
"C(18,7)+288",32112
(1872+93)*62,121830
reverse_digits(70068663950),5936686007
(174584*79)+(670532*4985)+(4464*12),3356447724
(7689*61)/3,156343
((6288+(9211*81))*(7710-6262))-65687,1089379105
((343+19)*8144)-5967,2942161
4354+(5*7740)-(42860/20),40911
isqrt(6198810),2489
((1098*84)+42)/3,30758
(((84*8014)+(344*98))/8)-7919,80442
(9565*6584)-(422383*96),22427192
(3084+(42*31))*(394-67),1434222
(6806*15)/123,830
3^7+5^7,80312
phi(3126),1040
(6770*107)/2,362195
"C(31,3)*20",89900
"lcm(292,377)",110084
2^9+8^3,1024
"gcd(106,353)*lcm(106,353)",37418
"lcm(240,367,198)",2906640
isqrt(8831810),2971
(2041*749)+(8943*541),6366872
(8038*21)/14,12057
((49*19)/7)*3443+48,457967
(1182+74)*(5790-3101),3377384
((2014+(8832*74))*(7581-7351))-11820,150772040
isqrt(7296112),2701
9!*37+1404,13427964
(638*807)/66,7801
7!*17+8037,93717
"C(35,7)+191",6724711
abs(7138-8591)*42+floor(7138/2),64595
2^8+4^7,16640
((4562+47)*1548)+(20*795775),23050232
"perm(16,2)",240
1773600/739+16,2416
(((940*5777)+(792160*1629))/2)-3291,647926219
nth_prime(491)*79+prime_count(4622),278467
"C(21,6)+P(21,4)",197904
abs(231-4554)*10+floor(231/20),43241
10!*25+654,90720654
(4570+12)*(3756-3501),1168410
((6802+59)*986574)-61975,6768822239
(243346*87)/29,730038
digit_product(1869648716),3483648
757102*(8553+50),6513348506
digit_sum(6^6)*phi(83),2214
(6287*19)/19,6287
sigma(4758),10416
digit_sum(8^9)*phi(89),3080
(((9397*161)+(4511*5041))/244)-9887,89510
abs(1331-2972)*43+floor(1331/15),70651
phi(3547),3546
875*141,123375
(28^7)%755,372
364852*(2010+2102),1500271424
(247*2481)+(82*1414)+(48*52),731251
nth_prime(1664),14143
sigma(4296),10800
phi(4284),1152
5^5+5^8,393750
6881+(275*760)-(73796/76),214910
isqrt(9657260),3107
(((8065*1162)+(697785*4731))/83)-9756,39876899
((2936+(12*3077))*(820-75))-53039,29642661
(163778*132)/22,982668
(185*143)/5,5291
(3223+63)*(6011-4062),6404414
"C(25,4)*19",240350
sigma(1580)+phi(1580),3984
6^7+7^6,397585
nth_prime(1926),16651
(8347+(3372*864576))*(7276-5019),6579964403083
(3201+(6481*1243))*(2650-1458)+45,9606428173
10!*6+2083,21774883
floor(11!/1000),39916
phi(4568),2280
((850091*683576)-(1047+4550))/31,18745219349
3458*1734+67,5996239
"gcd(257,88)*lcm(257,88)",22616
"max(41224,72635,78341)-min(41224,31424)+31",46948
((7539+1070)*609748)-4293,5249316239
"lcm(175,108)",18900
"C(36,10)",254186856
(27*59)+(86*878749),75574007
floor(1694002/884)+359,2275
"P(9,6)",60480
((8625+(525897*96))*(9051-1773))-65447,367500630439
"comb(17,4)",2380
phi(3612),1008
(221774*9957)-(83*6255),2207684553
(964932*41)-(920*32),39532772
(605*334254)-(9895*3745),165166895
"comb(28,4)",20475
"lcm(221,362)",80002
(24*381)+(79*5225),421919
((505*664)+7113)/91,3763
((5598+(8677*60))*(6379-5893))-43159,255698789
phi(2985)*sigma(1553),2461536
((7027+38)*2271)+(2500*46),16159615
"C(24,5)+fib(26)",163897
"comb(23,4)",8855
((7496+5413)*49)+(3746*2444),9787765
((495826*28)/7)*780162+86,1547298415334
phi(191),190
(2305*132)+(7283*139),1316597
8!*46+322,1855042
(5^12)%863,514
(6690+(97*2835))*(1543-678),243657525
"lcm(183,122,40)",7320
(64*127363)-(48*3459),7985200
1980+(12*6171)-(120879/37),72765
floor(10!/1000),3628
sigma(2848),5670
phi(529),506
425859*(29+4987),2136108744
sqrt(8655364),2942
"gcd(6090,2784,21924)",174
16471*11,181181
(9480*35)+(548644*2084),1143705896
"comb(21,9)",293930
floor(5904536/215)+183,27645
fib(22)-893,16818
(294488*490281)+(3453*272753),145323687237
"comb(22,3)",1540
8429*9512+46,80176694
nth_prime(1168),9433
"C(15,4)+fib(28)",319176
prime_count(10694),1304
phi(1205)*sigma(2007),2795520
nth_prime(125)*29+prime_count(4365),20635
"C(18,3)+130",946
"lcm(266,396,43)",2264724
floor(5390614/271)+295,20186
89*((939+69)*54)-4433,4840015
(539+2268)*9447,26517729
nth_prime(996)*21+prime_count(1155),165650
((24*15671)+5876)/71,5380
1371531/813+39,1726
(26*814244)+(5904*6448)+(1557*4040),65529616
(62050*38)/73,32300
nth_prime(1130),9109
8008*98+43,784827
(75*96853)-(3872*1464),1595367
sigma(3072)+phi(3072),9212
"gcd(33462,27716)",338
"lcm(486,438)+gcd(486,438)",35484
digit_sum(257805004)^2+digit_sum(257805004),992
"C(19,6)",27132
8833*(1441+54),13205335
phi(763)*sigma(2759),1866240
"comb(18,4)",3060
"lcm(228,382)+gcd(228,382)",43550
9554+(7585*6870)-(150290/70),52116357
10!*10+7603,36295603
(5042*13)+(2648*1554),4180538
"lcm(33,152,93)",155496
reverse_digits(9297)+isqrt(86440416),17226
fib(25)-465,74560
fib(27)*10,1964180
"C(29,7)+168",1560948
sigma(1260),4368
sqrt(182736324),13518
"P(8,5)",6720
(1275+(45*2335))*(838-824),1488900
prime_count(36298),3851
phi(2635)*sigma(1377),4181760
nth_prime(202),1231
"C(32,3)+292",5252
"gcd(fib(28),fib(28))",317811
prime_count(41838),4372
(14122*5)/23,3070
(73*32)+(91*61)+(36*4721),177843
"C(32,3)-417",4543
(2537*12)+(40*7787)+(1725*101892),176105624
digit_sum(654335039)^2+digit_sum(654335039),1482
fib(30)+digit_sum(fib(30)),832057
4^5+7^7,824567
phi(3099),2064
1314496/874+29,1533
(1271+(767*286))*(86-50),7942788
8!*19+676,766756
(962+9)*(5454-5312),137882
"C(27,8)+fib(23)",2248732
810610*(8760+96),7178762160
"gcd(748,126)*lcm(748,126)",94248
((6580+(5409*6560))*(9992-5017))-70567,176560788933
7!*11+1869,57309
((9447*10)+16)/14,6749
fib(29),514229
((20*20809)+5180)/80,5267
10!*36+1332,130638132
(2823+(195*627687))*(8927-1736)+31,880191257539
(5260*298)+(5135*689),5105495
(6250*79)+(8168*3073)+(9416*94),26479118
(((194490*863999)+(1289*26))/4)-1526,42009798230
digit_sum(2^12)*phi(24),152
"max(33223,51442,5804)-min(33223,9980)+37",41499
floor(9511227/866)+470,11452
(8937+24)*(3147-1223),17240964
(((66*96)+(75*98))/2)-6387,456
(4591+(241937*34))*(9287-7650),13473245013
((2332+51)*6608)-9352,15737512
"C(36,7)",8347680
(((6316*8550)+(222216*85))/86)-9174,838386
(9007+(23*56))*(1200-345),8802225
9280+(52290*168288)-(65084/53),8799787572
647349/831+7,786
"P(13,5)",154440
"gcd(23095,22630)",155
"P(18,2)",306
11^5+3^7,163238
((568+(5571*6819))*(5239-270))-49639,188768369634
"max(95255,84716,10217)-min(95255,20753)+3",74505
"gcd(24,589)*lcm(24,589)",14136
(8817+(3851*11))*(7442-3105)+6521,221965507
phi(1056),320
((9385+176)*834)+(2399*997),10365677
(120954*200)/40,604770
(1875*84)/45,3500
fib(35)-67,9227398
(46*36)+(121*1660),202516
(5765*50)-(27*90),285820
"C(16,5)+161",4529
((2508+32)*17808)-78330,45153990
"gcd(17510,69020)",170
"lcm(262,39)",10218
1712920/748+11,2301
sqrt(225540324),15018
fib(17),1597
10!*22+6789,79840389
nth_prime(1151),9293
(7795*801)+(2073*598841)+(7273*86),1248266666
nth_prime(930),7297
"C(31,8)+180",7888905
"C(23,6)+P(23,4)",313467
(4403+9572)*7892,110290700
phi(1397)*sigma(1071),2358720
"C(60,8)%nth_prime(44)",159
"C(27,4)-189",17361
fib(19)+665,4846
(3630*15)/2,27225
prime_count(31640),3402
(3622+(16336*447))*(4132-1755)+30,17365919908
fib(34)+531,5703418
((5987+(330726*892620))*(1268-143))-63618,332114229056757
"C(28,7)+fib(30)",2016080
11^10+7^6,25937542250
nth_prime(670)*75+prime_count(1301),375437
((6746+6)*497124)+(1969*1547),3359627291
(81370*28)/79,28840
6163*(98+36),825842
((1404+(5462*9717))*(2886-283))-41807,138155895967
9356*((70+2500)*23)-63416,552969744
(8213*252954)+(5984*88)+(29*25),2078038519
((5576-983)*12)/4,13779
nth_prime(417)*26+prime_count(1133),75043
phi(482)*sigma(1041),334080
(29*1772)+(8571*7656),65670964
fib(31)-537,1345732
9!,362880
"comb(36,10)",254186856
((4776-3973)*128)/8,12848
(59419*6792)-(78*9039),402868806
((6250+161)*502)+(785*464),3582562
"lcm(174,110,164)",784740
(((6956*6426)+(53*2878))/5)-1052,8969306
(1561*8397)+(2214*10),13129857
"C(14,6)+fib(22)",20714
"gcd(83721,86199,29913)",177
(((809163*1044)+(456573*5614))/23)-1386,148171092
(6651+(96*49))*(925-640),3236175
(56*3942)-(36*5676),16416
(((31*8)+(92*6622))/214)-1727,1121
prime_count(39478),4154
((5146-3580)*21)/21,1566
"C(17,5)+fib(17)",7785
(9068*12)/48,2267
(117+(3265*1922))*(8587-4514)+2106,25559897737
(7324*7491)+(4310*48),55070964
"C(18,5)",8568
433*50+58,21708
nth_prime(830)*17+prime_count(3769),108764
sigma(1814),2724
6016+(33*324620)-(36828/66),10717918
((2547+5367)*57)+(1233*25),481923
"C(30,7)*15",30537000
7^9+6^7,40633543
isqrt(6400704),2529
(4^7)%695,399
"gcd(48279,29161)",121
7037*4342+9,30554663
"C(33,6)-41",1107527
"C(23,8)+fib(24)",536682
floor(5270651/467)+86,11372
"gcd(7820,4301)",391
"max(70660,9450,1606)-min(70660,47885)+8",22783
"lcm(71,98)",6958
(289663*600256)-(6165*7443),173826067633
4175*((829+99)*7821)-46126,30301636274
9662*(5588+6165),113557486
(7502*1127)+(667060*23),23797134
94*((5850+43)*444216)-29912,246069869560
"C(18,6)+P(18,4)",92004
((9418+(35*43))*(9082-303))-69102,95823915
((452254*1751)-(7508+1766))/5,158377496
sigma(3841),4032
(5563+(581332*82))*(2442-1535),43241031809
"max(13959,60145,73663)-min(13959,68259)+18",59722
(((626026*5782)+(6301*31))/19)-8399,190511478
(7^11)%451,227
(3602+86)*1500,5532000
"comb(40,6)",3838380
3100+(893861*787)-(75400/26),703468807
(1441*5644)+(7530*3703),36016594
107070/30+574,4143
10*(71+44),1150
fib(16),987
1188*((8280+98)*7719)-22545,76827678471
1328*((145+85)*5751)-27389,1756558051
((4395*290)/75)*2645+83,44949213
8!*50+5272,2021272
6998*55-2445,382445
((3209-2240)*27)/57,459
prime_count(32351),3469
87*5017+97,436576
nth_prime(1046),8353
(5478*9415)+(2429*7),51592373
14!/(3!*11!),364
(((19*1536)+(47*6364))/4)-8212,73861
"C(26,6)",230230
1874610/795+43,2401
abs(4853-3232)*4+floor(4853/8),7090
3569*79+69,282020
prime_count(39084),4113
40*272,10880
"C(29,4)-227",23524
8074*(5989+5330),91389606
(((20*1625)+(9052*2167))/296)-5933,60446
(2285+(848791*1797))*(4010-800),4896147875520
abs(6778-9208)*5+floor(6778/16),12573
(7427+(67*240851))*(4618-1561)+2597,49353567905
prime_count(47941),4940
sigma(3737)+phi(3737),7476
"gcd(597,340)*lcm(597,340)",202980
phi(4765),3808
phi(4330),1728
"C(16,6)",8008
(30^10)%951,402
"gcd(53,158)*lcm(53,158)",8374
"lcm(345,462)+gcd(345,462)",53133
"lcm(252,15)",1260
"gcd(783,617)*lcm(783,617)",483111
phi(2787),1856
82095*3174,260569530
floor(3988270/822)+479,5330
"perm(20,6)",27907200
(2320+31)*5093,11973643
4508+(3052*1100)-(268408/56),3356915
((9370+7304)*7077)+(2509*3371),126459737
((5325+95)*53)-55579,231681
"C(19,8)+fib(15)",76192
"P(16,6)",5765760
12!*12+5096,5748024296
"gcd(174,558)*lcm(174,558)",97092
"comb(15,5)",3003
sqrt(127870864),11308
(34^6)%943,676
"C(20,4)+342",5187
((7068-1210)*29)/101,1682
"lcm(338,230)",38870
(3830+852)*(882-160),3380404
(((9468*2426)+(96*8708))/4)-1714,5949620
"lcm(199,41)",8159
((7424+469)*597)+(9861*473),9376374
sqrt(26894596),5186
sqrt(229886244),15162
(2506+(993800*81))*(8040-2711),428986130674
((565*611)+769)/48,7208
"C(16,5)+117",4485
13!/(8!*5!),1287
fib(17)*48,76656
(8766+(5124*46))*(6534-2365)+18,1019195448
(998435*69)+(36*4429)+(78*95),69058869
(3118*9543)-(54*65),29751564
(6615+963)*684,5183352
(2185+91)*(3234-1740),3400344
digit_product(184778247),702464
sigma(2945),3840
reverse_digits(723060656542),245656060327
"max(92407,18119,50070)-min(92407,74910)+12",17509
9732*((1610+34)*786282)-77637,12580046443419
25*(1541+25),39150
((151773*8670)-(5994+147))/3,438621923
prime_count(17549),2017
"C(28,6)+fib(11)",376829
phi(3581),3580
(26^7)%695,281
nth_prime(1976),17159
(823735*6)+(8945*6044),59005990
(25*526579)-(103866*61),6828649
12^7+2^3,35831816
684*(9970+719),7311276
(1631+(51*9069))*(8013-5757),1047122400
7*((9726+7107)*661396)-45938,77932906138
8082+(82*6)-(214985/73),5629
"gcd(659,591)*lcm(659,591)",389469
digit_sum(139845549)^2+digit_sum(139845549),2352
(81*4494)-(77*2170),196924
floor(4676240/13)+48,359758
"lcm(20,248)",1240
5969*3189-6428,19028713
((14407*240)/15)*6796+41,1566559593
12!/(8!*4!),495
((7061+75)*7172)+(2525*8877),73593817
"gcd(5220,32580)",180
(126*55)/42,165
(6751*58)/2,195779
(2562+271)*700,1983100
(88*52)/4,1144
"C(23,5)+fib(21)",44595
484590*45-7836,21798714
(3070+(883902*3120))*(6992-2624),12045971290080
(2326+88)*(7525-1210),15244410
(176569*483542)-(64*77),85378522470
"gcd(68870,24832)",194
phi(1409)*sigma(921),1734656
((72-20)*58)/13,232
3947*(4984+36),19813940
646*(8865+923),6323048
"C(21,8)+fib(15)",204100
((1470-17)*2430)/30,117693
451*(9019+138),4129807
((3095+(4407*2147))*(3009-1455))-31068,14708460828
(((4238*575773)+(7262*2374))/2)-2325,1228680656
((1929+(4254*53))*(9393-3385))-50550,1366114578
297+(6068*96)-(19700/50),582431
"C(35,7)+231",6724751
(3831*54)/81,2554
((914-71)*3977)/41,81771
(4151+(1318*5072))*(9163-8444)+63,4809424856
"lcm(26,374)",4862
(4024*52)/8,26156
"gcd(173,183)*lcm(173,183)",31659
(4293+(265905*64))*(2315-324),33891226083
"lcm(42,84,108)",756
"gcd(767,191)*lcm(767,191)",146497
floor(5148139/460)+454,11645
"comb(26,7)",657800
(6798+778)*940,7121440
((80-16)*200)/8,1600
"C(19,7)-167",50221
((2605-857)*11)/76,253
"gcd(467,757)*lcm(467,757)",353519
6^6+9^5,105705
596562*((51+21)*46)-60471,1975752873
fib(32)*17,37031253
nth_prime(510),3643
"comb(14,3)",364
"gcd(315,665)*lcm(315,665)",209475
sigma(2745),4836
"perm(11,6)",332640
"C(22,4)+fib(20)",14080
9^4+5^8,397186
((65*231)/21)*2685+26,1919801
reverse_digits(3677)+isqrt(13523648),11440
"C(30,4)+fib(14)",27782
(6758*701307)+(2117*7626),4755576948
((8654-4220)*99)/6,73161
nth_prime(262),1667
(((7707*328090)+(5771*35))/35)-3251,72247938
(64*96)+(17*3)+(144198*41),5918313
((4680+95)*654654)+(6236*5191),3158343926
(567+(7733*8974))*(7717-5354)+5451,163983956218
(7178*626)+(7176*90),5139268
sigma(3565),4608
isqrt(3435180),1853
665619*((5002+1815)*48)-38155,217801148549
9^6+8^8,17308657
(777*3056)+(97*567)+(1730*12),2450271
((4806+521)*69)-820,366743
"lcm(185,233,22)",948310
58*66-2764,1064
phi(2484)*sigma(2231),1862784
(5940*7275)-(78*9495),42472890
(((2185*6687)+(3*47))/271)-3912,50004
(1052*146677)+(100344*2349)+(9053*87),390799871
"lcm(52,37)",1924
((8481+7)*54)-82052,376300
6330*(3881+79),25066800
(42*2248)+(6735*8106),54688326
(5595+15)*414,2322540
((757-59)*1380)/20,48162
digit_sum(8^7)*phi(133),2808
(6442*676)+(6922*482),7691196
digit_product(426461),1152
(26^5)%281,134
(((3625*752006)+(84*594))/2)-2350,1363033473
phi(2805),1280
(406322*6997)-(4654*18),2842951262
((967+58)*2857)+(3447*35),3049070
digit_sum(9^8)*phi(195),2592
(9612*171)+(1024*647),2306180
nth_prime(1110)*85+prime_count(189),759007
((859996*43)-(6873+84))/13,2844067
11^7+9^6,20018612
(5262+(48*5316))*(8526-5336)+4257,830775957
phi(2907)*sigma(1638),7547904
(764*3918)+(4777*4107)+(2344*64),22762507
(((48*5338)+(574013*90))/6)-3186,8649713
(151+(39*199526))*(2103-2012),708131515
((8494-1515)*64)/2,223328
7!*27+5418,141498
(39*6272)+(67*573954),38699526
((3528+(67*5939))*(8431-5031))-88635,1364810765
(7063+12)*(2404-2360),311300
floor(7368062/862)+42,8589
"gcd(503,50)*lcm(503,50)",25150
prime_count(15755),1837
5327*(2265+8303),56295736
1776*7215,12813840
((6824+952)*353)+(6057*580),6257988
9!*31+802,11250082
(8529*42)/7,51174
213*(5373+685),1290354
nth_prime(1031)*86+prime_count(2495),707373
sqrt(29942784),5472
1106330/698+44,1629
((5600+(8652*33))*(4546-3210))-60351,388870625
4677*((39+5530)*38)-75417,989680677
16!/(12!*4!),1820
digit_sum(8^7)*phi(164),2080
(789337*3060)+(54*13)+(37*321763),2427277153
"comb(30,8)",5852925
"C(20,5)+fib(12)",15648
(154+(7203*405382))*(4589-2031)+18,7469274818618
floor(1266904/608)+62,2145
((81*4549)-(972+803))/83,4418
(29*72)+(181204*33)+(9151*24),6201444
6358+(18*525375)-(7296/19),9462724
"gcd(fib(21),fib(21))",10946
(1552*15)/24,970
11!*33+6892,1317261292
(34*9930)-(57*4590),75990
sqrt(128210329),11323
((889+6476)*78)-42870,531600
((2273-231)*20)/40,1021
((824+51)*615213)+(80*2268),538492815
prime_count(14103),1662
sigma(1787)+phi(1787),3574
4482702/938+5,4784
phi(799)*sigma(914),1011264
(28566*53)/69,21942
"lcm(170,12)",1020
abs(1640-8791)*49+floor(1640/9),350581
(80713*6765)+(4804*67)+(7479*648746),5398316647
2^10+6^5,8800
isqrt(2497967),1580
((6518-2915)*16)/2,28824
floor(7402188/739)+50,10066
phi(275)*sigma(1488),793600
(27*907847)+(3467*2795),34202134
10!/(5!*5!),252
fib(30)+332,832372
